City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sungai besar,3.6746,100.9867,78.53,86,100,6.53,MY,1683574541
1,thompson,55.7435,-97.8558,69.96,30,20,6.91,CA,1683574541
2,mbanza-ngungu,-5.25,14.8667,70.88,92,97,2.28,CD,1683574541
3,port-aux-francais,-49.35,70.2167,41.61,95,100,39.48,TF,1683574542
4,bereket,39.2446,55.5154,76.82,34,98,8.3,TM,1683574542
5,xichang,27.8964,102.2634,57.38,79,3,2.68,CN,1683574542
6,talnakh,69.4865,88.3972,27.21,94,100,6.69,RU,1683574542
7,iqaluit,63.7506,-68.5145,24.53,79,20,24.0,CA,1683574542
8,edinburgh of the seven seas,-37.0676,-12.3116,59.81,63,100,11.43,SH,1683574543
9,bredasdorp,-34.5322,20.0403,56.44,93,30,3.27,ZA,1683574543
10,visakhapatnam,17.69,83.2093,82.29,100,20,2.3,IN,1683574543
11,port mathurin,-19.6833,63.4167,78.48,74,59,21.88,MU,1683574543
12,ust-nera,64.5667,143.2,29.19,85,100,4.43,RU,1683574543
13,port alfred,-33.5906,26.891,64.18,91,98,10.89,ZA,1683574544
14,bereznik,62.8551,42.7072,42.1,76,100,7.02,RU,1683574544
15,port macquarie,-31.4333,152.9167,46.89,53,85,13.8,AU,1683574544
16,santa ana de yacuma,-13.75,-65.4333,75.15,88,100,8.05,BO,1683574544
17,blackmans bay,-43.0167,147.3167,52.52,74,83,14.85,AU,1683574544
18,whitehorse,60.7161,-135.0538,50.77,33,40,16.11,CA,1683574545
19,galle,6.0367,80.217,81.36,84,100,10.76,LK,1683574545
20,saint-pierre,-21.3393,55.4781,76.68,65,0,6.91,RE,1683574545
21,bilibino,68.0546,166.4372,21.16,87,100,2.59,RU,1683574547
22,andergrove,-21.0833,149.1833,51.64,46,65,17.58,AU,1683574547
23,hillsdale,41.0026,-74.0404,79.16,37,40,12.66,US,1683574547
24,selfoss,63.9331,-20.9971,51.04,94,100,3.58,IS,1683574547
25,ushuaia,-54.8,-68.3,49.66,46,40,13.8,AR,1683574547
26,wailua homesteads,22.0669,-159.378,77.79,71,75,18.41,US,1683574548
27,namibe,-15.1961,12.1522,74.93,73,94,3.51,AO,1683574548
28,anadyr,64.75,177.4833,25.3,93,75,15.66,RU,1683574548
29,uturoa,-16.7333,-151.4333,81.79,73,28,8.16,PF,1683574548
30,puerto natales,-51.7236,-72.4875,45.05,81,75,6.91,CL,1683574548
31,margaret river,-33.95,115.0667,63.99,52,100,12.24,AU,1683574548
32,grytviken,-54.2811,-36.5092,32.04,81,11,10.85,GS,1683574549
33,naples,40.8333,14.25,62.11,88,75,2.3,IT,1683574170
34,avarua,-21.2078,-159.775,78.85,83,40,10.36,CK,1683574344
35,invercargill,-46.4,168.35,54.25,95,58,7.65,NZ,1683574549
36,iskateley,67.6803,53.1512,31.46,96,100,15.57,RU,1683574549
37,bonthe,7.5264,-12.505,83.12,79,100,9.31,SL,1683574549
38,kapa'a,22.0752,-159.319,79.12,71,75,18.41,US,1683574550
39,altayskoye,51.9533,85.3325,55.36,56,0,7.05,RU,1683574550
40,alice springs,-23.7,133.8833,31.55,74,0,12.41,AU,1683574550
41,kailua-kona,19.6406,-155.9956,82.27,73,20,6.91,US,1683574550
42,jamestown,42.097,-79.2353,71.53,51,0,13.8,US,1683574322
43,adamstown,-25.066,-130.1015,71.11,55,100,14.85,PN,1683574550
44,codrington,-38.2667,141.9667,55.27,77,100,11.1,AU,1683574551
45,punta arenas,-53.15,-70.9167,46.51,71,100,10.36,CL,1683574483
46,nianzishan,47.5167,122.8833,43.48,24,0,7.58,CN,1683574551
47,payson,40.0444,-111.7321,71.29,35,40,5.75,US,1683574472
48,saint-philippe,-21.3585,55.7679,76.59,81,99,9.8,RE,1683574553
49,mili,6.0815,171.735,82.8,79,99,14.67,MH,1683574553
50,yemva,62.59,50.8594,32.13,85,80,8.79,RU,1683574553
51,tiksi,71.6872,128.8694,9.68,88,99,9.84,RU,1683574553
52,dauphin,51.1494,-100.0502,55.54,67,100,14.97,CA,1683574553
53,atasu,48.6814,71.6433,60.89,24,3,3.53,KZ,1683574554
54,arraial do cabo,-22.9661,-42.0278,78.76,78,20,16.11,BR,1683574554
55,sarh,9.1429,18.3923,84.49,42,95,2.37,TD,1683574554
56,bosaso,11.2842,49.1816,82.22,60,7,4.05,SO,1683574554
57,itoman,26.1247,127.6694,69.82,80,75,17.27,JP,1683574554
58,stanley,54.868,-1.6985,56.28,92,75,4.61,GB,1683574554
59,st. john's,47.5649,-52.7093,48.78,77,75,28.77,CA,1683574502
60,georgetown,5.4112,100.3354,85.95,87,20,5.75,MY,1683574445
61,yellowknife,62.456,-114.3525,57.72,51,75,8.01,CA,1683574555
62,kuala tungkal,-0.8167,103.4667,77.14,90,100,2.84,ID,1683574555
63,malango,-2.9627,119.9001,68.56,99,100,1.97,ID,1683574555
64,cooper's town,26.8667,-77.5167,74.61,67,1,9.82,BS,1683574556
65,christchurch,-43.5333,172.6333,66.47,69,100,10.36,NZ,1683574467
66,waitangi,-43.9535,-176.5597,58.82,95,100,8.01,NZ,1683574556
67,tura,25.5198,90.2201,75.09,32,0,4.63,IN,1683574556
68,tromso,69.6496,18.957,42.82,81,75,13.8,NO,1683574557
69,carnarvon,-24.8667,113.6333,72.52,65,54,0.56,AU,1683574559
70,ilulissat,69.2167,-51.1,30.22,86,75,5.75,GL,1683574560
71,lebu,-37.6167,-73.65,54.93,64,100,13.42,CL,1683574560
72,luderitz,-26.6481,15.1594,61.07,62,0,12.28,NA,1683574561
